,iteration,id,production,consumption,stored_kwh,wallet,grid_energy
3,73,ap4,70.5719,38.01,0.0,0.0,0.0
4,73,cs1,17.316,43.5305,0.0,-57017.0749,26.2145
5,73,cs2,17.316,42.2025,0.0,-55962.1901,24.8865
0,74,ap1,103.3059,47.4031,3615.9452,0.0,0.0
1,74,ap2,17.316,45.7199,0.0,-45471.9465,28.4039
2,74,ap3,82.5251,44.7877,0.0,0.0,0.0
3,74,ap4,82.0638,46.212,0.0,0.0,0.0
4,74,cs1,17.316,50.391,0.0,-57343.6244,33.075
5,74,cs2,17.316,49.6843,0.0,-56281.7626,32.3683
0,75,ap1,85.0736,37.3523,3663.6664,0.0,0.0
1,75,ap2,17.316,38.588,0.0,-46228.1341,21.272
2,75,ap3,72.585,37.9605,0.0,0.0,0.0
3,75,ap4,71.1761,38.4412,0.0,0.0,0.0
4,75,cs1,17.316,40.5952,0.0,-58171.165,23.2792
5,75,cs2,17.316,43.7723,0.0,-57222.2454,26.4563
0,76,ap1,86.3737,38.069,3711.9711,0.0,0.0
1,76,ap2,17.316,36.8167,0.0,-46745.1349,19.5007
2,76,ap3,74.1612,39.0431,0.0,0.0,0.0
3,76,ap4,68.7202,36.6884,0.0,0.0,0.0
4,76,cs1,17.316,43.5599,0.0,-58866.9403,26.2439
5,76,cs2,17.316,43.6061,0.0,-57919.2441,26.2901
0,77,ap1,87.8528,38.8844,3760.9395,0.0,0.0
1,77,ap2,17.316,39.4336,0.0,-47542.9216,22.1176
2,77,ap3,72.7366,38.0646,0.0,0.0,0.0
3,77,ap4,70.6468,38.0634,0.0,0.0,0.0
4,77,cs1,17.316,43.8851,0.0,-59825.2924,26.5691
5,77,cs2,17.316,44.1786,0.0,-58888.1831,26.8626
0,78,ap1,82.8843,36.1454,3807.6784,0.0,0.0
1,78,ap2,17.316,38.7906,0.0,-48538.5636,21.4746
2,78,ap3,70.2592,36.3631,0.0,0.0,0.0
3,78,ap4,71.191,38.4518,0.0,0.0,0.0
4,78,cs1,17.316,42.8038,0.0,-61007.0011,25.4878
5,78,cs2,17.316,42.6206,0.0,-60061.4004,25.3046
0,79,ap1,86.2531,38.0025,3855.929,0.0,0.0
1,79,ap2,17.316,38.4317,0.0,-49508.4343,21.1157
2,79,ap3,71.0022,36.8734,0.0,0.0,0.0
3,79,ap4,70.9708,38.2947,0.0,0.0,0.0
4,79,cs1,17.316,42.0726,0.0,-62144.1028,24.7566
5,79,cs2,17.316,43.8034,0.0,-61278.0024,26.4874
0,80,ap1,86.3136,38.0359,3904.2067,0.0,0.0
1,80,ap2,17.316,38.1757,0.0,-50225.5595,20.8597
2,80,ap3,72.6725,38.0206,0.0,0.0,0.0
3,80,ap4,70.8047,38.1761,0.0,0.0,0.0
4,80,cs1,17.316,44.6509,0.0,-63083.834,27.3349
5,80,cs2,17.316,41.5706,0.0,-62111.8368,24.2546
0,81,ap1,83.9867,36.7532,3951.4403,0.0,0.0
1,81,ap2,17.316,37.9161,0.0,-50746.9356,20.6001
2,81,ap3,71.9084,37.4958,0.0,0.0,0.0
3,81,ap4,71.6775,38.799,0.0,0.0,0.0
4,81,cs1,17.316,44.1402,0.0,-63762.7395,26.8242
5,81,cs2,17.316,43.1926,0.0,-62766.7595,25.8766
0,82,ap1,87.4749,38.6761,4000.2391,0.0,0.0
1,82,ap2,17.316,38.0802,0.0,-51774.1602,20.7642
2,82,ap3,72.3391,37.7916,0.0,0.0,0.0
3,82,ap4,68.788,36.7368,0.0,0.0,0.0
4,82,cs1,17.316,43.2645,0.0,-65046.4363,25.9485
5,82,cs2,17.316,42.0911,0.0,-63992.407,24.7751
0,83,ap1,91.2356,40.7492,4050.7255,0.0,0.0
1,83,ap2,17.316,37.2877,0.0,-52099.469,19.9717
2,83,ap3,71.984,37.5477,0.0,0.0,0.0
3,83,ap4,69.7524,37.4251,0.0,0.0,0.0
4,83,cs1,17.316,43.6405,0.0,-65475.2226,26.3245
5,83,cs2,17.316,40.082,0.0,-64363.2293,22.766
0,84,ap1,83.3325,36.3925,4097.6655,0.0,0.0
1,84,ap2,17.316,39.4164,0.0,-53083.1461,22.1004
2,84,ap3,71.9143,37.4999,0.0,0.0,0.0
3,84,ap4,68.5622,36.5756,0.0,0.0,0.0
4,84,cs1,17.316,42.8019,0.0,-66609.5849,25.4859
5,84,cs2,17.316,43.1193,0.0,-65511.7194,25.8033
0,85,ap1,85.3896,37.5265,4145.5285,0.0,0.0
1,85,ap2,17.316,38.6885,0.0,-53452.4023,21.3725
2,85,ap3,73.3552,38.4895,0.0,0.0,0.0
3,85,ap4,70.8247,38.1904,0.0,0.0,0.0
4,85,cs1,17.316,42.6142,0.0,-67046.6662,25.2982
5,85,cs2,17.316,42.4027,0.0,-65945.1464,25.0867
0,86,ap1,83.0157,36.2179,4192.3264,0.0,0.0
1,86,ap2,17.316,37.5275,0.0,-54234.4392,20.2115
2,86,ap3,71.9946,37.555,0.0,0.0,0.0
3,86,ap4,71.4788,38.6572,0.0,0.0,0.0
4,86,cs1,17.316,44.2809,0.0,-68090.0132,26.9649
5,86,cs2,17.316,42.7129,0.0,-66927.8232,25.3969
0,87,ap1,87.1901,38.5191,4240.9974,0.0,0.0
1,87,ap2,17.316,39.2036,0.0,-54713.6955,21.8876
2,87,ap3,71.1754,36.9923,0.0,0.0,0.0
3,87,ap4,69.9592,37.5727,0.0,0.0,0.0
4,87,cs1,17.316,41.9143,0.0,-68628.6218,24.5983
5,87,cs2,17.316,42.3749,0.0,-67476.518,25.0589
0,88,ap1,97.5102,44.2082,4294.2994,0.0,0.0
1,88,ap2,17.316,43.7697,0.0,-55420.2011,26.4537
2,88,ap3,82.7605,44.9494,0.0,0.0,0.0
3,88,ap4,80.0376,44.7658,0.0,0.0,0.0
4,88,cs1,17.316,53.065,0.0,-69583.3798,35.749
5,88,cs2,17.316,51.6016,0.0,-68392.1932,34.2856
0,89,ap1,87.6836,38.7911,4343.1919,0.0,0.0
1,89,ap2,17.316,37.5256,0.0,-55791.0479,20.2096
2,89,ap3,70.8557,36.7728,0.0,0.0,0.0
3,89,ap4,70.5033,37.961,0.0,0.0,0.0
4,89,cs1,17.316,42.6169,0.0,-70047.6513,25.3009
5,89,cs2,17.316,44.955,0.0,-68899.3689,27.639
