,iteration,id,production,consumption,stored_kwh,wallet,grid_energy
4,16,cs1,17.316,42.8954,0.0,-14168.5886,25.5794
5,16,cs2,17.316,43.9731,0.0,-13922.7533,26.6571
0,17,ap1,84.6962,37.1443,864.278,0.0,0.0
1,17,ap2,17.316,34.9294,0.0,-11656.7785,17.6134
2,17,ap3,72.3869,37.8245,0.0,0.0,0.0
3,17,ap4,66.73,35.2679,0.0,0.0,0.0
4,17,cs1,17.316,44.2367,0.0,-14718.3289,26.9207
5,17,cs2,17.316,42.4899,0.0,-14436.8224,25.1739
0,18,ap1,84.9946,37.3087,911.9638,0.0,0.0
1,18,ap2,17.316,37.4419,0.0,-12055.8229,20.1259
2,18,ap3,73.154,38.3513,0.0,0.0,0.0
3,18,ap4,69.6116,37.3245,0.0,0.0,0.0
4,18,cs1,17.316,44.2414,0.0,-15252.1904,26.9254
5,18,cs2,17.316,44.0742,0.0,-14967.3679,26.7582
0,19,ap1,87.9678,38.9478,960.9838,0.0,0.0
1,19,ap2,17.316,39.1648,0.0,-12583.0227,21.8488
2,19,ap3,72.6589,38.0113,0.0,0.0,0.0
3,19,ap4,70.8484,38.2073,0.0,0.0,0.0
4,19,cs1,17.316,41.853,0.0,-15844.2557,24.537
5,19,cs2,17.316,41.2127,0.0,-15543.9828,23.8967
0,20,ap1,87.829,38.8713,1009.9416,0.0,0.0
1,20,ap2,17.316,38.1725,0.0,-12859.988,20.8565
2,20,ap3,68.3535,35.0542,0.0,0.0,0.0
3,20,ap4,67.4246,35.7636,0.0,0.0,0.0
4,20,cs1,17.316,42.8083,0.0,-16182.7828,25.4923
5,20,cs2,17.316,42.7907,0.0,-15882.2755,25.4747
0,21,ap1,86.0647,37.8987,1058.1076,0.0,0.0
1,21,ap2,17.316,37.8198,0.0,-13864.933,20.5038
2,21,ap3,73.6271,38.6763,0.0,0.0,0.0
3,21,ap4,71.9759,39.012,0.0,0.0,0.0
4,21,cs1,17.316,43.4016,0.0,-17461.3083,26.0856
5,21,cs2,17.316,42.4163,0.0,-17112.509,25.1003
0,22,ap1,85.5863,37.6349,1106.0589,0.0,0.0
1,22,ap2,17.316,37.1426,0.0,-14084.5806,19.8266
2,22,ap3,71.4646,37.191,0.0,0.0,0.0
3,22,ap4,70.8937,38.2396,0.0,0.0,0.0
4,22,cs1,17.316,42.757,0.0,-17743.1543,25.441
5,22,cs2,17.316,42.1542,0.0,-17387.6761,24.8381
0,23,ap1,89.7328,39.9208,1155.871,0.0,0.0
1,23,ap2,17.316,38.1914,0.0,-14673.5725,20.8754
2,23,ap3,69.6498,35.9445,0.0,0.0,0.0
3,23,ap4,70.401,37.888,0.0,0.0,0.0
4,23,cs1,17.316,43.1496,0.0,-18472.0385,25.8336
5,23,cs2,17.316,44.201,0.0,-18146.2257,26.885
0,24,ap1,85.826,37.7671,1203.9299,0.0,0.0
1,24,ap2,17.316,37.1382,0.0,-15174.0958,19.8222
2,24,ap3,71.9135,37.4993,0.0,0.0,0.0
3,24,ap4,69.1937,37.0263,0.0,0.0,0.0
4,24,cs1,17.316,43.717,0.0,-19138.6789,26.401
5,24,cs2,17.316,43.0606,0.0,-18796.2931,25.7446
0,25,ap1,82.3149,35.8316,1250.4132,0.0,0.0
1,25,ap2,17.316,37.6049,0.0,-15655.3892,20.2889
2,25,ap3,72.2042,37.699,0.0,0.0,0.0
3,25,ap4,68.8585,36.7871,0.0,0.0,0.0
4,25,cs1,17.316,43.6121,0.0,-19762.4741,26.2961
5,25,cs2,17.316,41.0026,0.0,-19358.1856,23.6866
0,26,ap1,86.9166,38.3683,1298.9615,0.0,0.0
1,26,ap2,17.316,39.6477,0.0,-16743.1346,22.3317
2,26,ap3,73.1735,38.3647,0.0,0.0,0.0
3,26,ap4,71.876,38.9407,0.0,0.0,0.0
4,26,cs1,17.316,44.4094,0.0,-21082.1528,27.0934
5,26,cs2,17.316,43.1133,0.0,-20614.7339,25.7973
0,27,ap1,85.9257,37.822,1347.0652,0.0,0.0
1,27,ap2,17.316,39.2282,0.0,-17438.0373,21.9122
2,27,ap3,73.0506,38.2803,0.0,0.0,0.0
3,27,ap4,69.6973,37.3857,0.0,0.0,0.0
4,27,cs1,17.316,42.5829,0.0,-21883.442,25.2669
5,27,cs2,17.316,42.9832,0.0,-21428.7169,25.6671
0,28,ap1,88.124,39.0339,1396.1553,0.0,0.0
1,28,ap2,17.316,37.6382,0.0,-17779.8092,20.3222
2,28,ap3,71.0858,36.9308,0.0,0.0,0.0
3,28,ap4,67.4735,35.7985,0.0,0.0,0.0
4,28,cs1,17.316,43.1263,0.0,-22317.5109,25.8103
5,28,cs2,17.316,41.5401,0.0,-21836.1098,24.2241
0,29,ap1,84.2433,36.8946,1443.504,0.0,0.0
1,29,ap2,17.316,37.721,0.0,-18728.9663,20.405
2,29,ap3,72.9928,38.2406,0.0,0.0,0.0
3,29,ap4,70.3159,37.8272,0.0,0.0,0.0
4,29,cs1,17.316,43.4879,0.0,-23534.9197,26.1719
5,29,cs2,17.316,42.3575,0.0,-23000.9347,25.0415
0,30,ap1,85.7325,37.7155,1491.5209,0.0,0.0
1,30,ap2,17.316,38.1217,0.0,-19330.4839,20.8057
2,30,ap3,73.3636,38.4953,0.0,0.0,0.0
3,30,ap4,73.9312,40.4075,0.0,0.0,0.0
4,30,cs1,17.316,42.024,0.0,-24249.2554,24.708
5,30,cs2,17.316,43.9433,0.0,-23770.7623,26.6273
0,31,ap1,84.8446,37.2261,1539.1394,0.0,0.0
1,31,ap2,17.316,39.4982,0.0,-20375.5844,22.1822
2,31,ap3,73.4714,38.5693,0.0,0.0,0.0
3,31,ap4,70.1991,37.7439,0.0,0.0,0.0
4,31,cs1,17.316,42.0268,0.0,-25413.4881,24.7108
5,31,cs2,17.316,42.8433,0.0,-24973.4644,25.5273
0,32,ap1,86.3208,38.0399,1587.4203,0.0,0.0
1,32,ap2,17.316,37.6324,0.0,-20752.4381,20.3164
2,32,ap3,70.9754,36.855,0.0,0.0,0.0
3,32,ap4,71.1585,38.4286,0.0,0.0,0.0
4,32,cs1,17.316,44.0288,0.0,-25908.9904,26.7128
5,32,cs2,17.316,42.7453,0.0,-25445.1585,25.4293
0,33,ap1,85.5947,37.6396,1635.3755,0.0,0.0
1,33,ap2,17.316,37.394,0.0,-20998.537,20.078
2,33,ap3,71.7616,37.3949,0.0,0.0,0.0
3,33,ap4,71.8822,38.9451,0.0,0.0,0.0
4,33,cs1,17.316,42.79,0.0,-26221.2281,25.474
5,33,cs2,17.316,42.7905,0.0,-25757.4025,25.4745
0,34,ap1,86.3964,38.0815,1683.6903,0.0,0.0
1,34,ap2,17.316,38.3726,0.0,-21457.1766,21.0566
2,34,ap3,75.1439,39.718,0.0,0.0,0.0
3,34,ap4,69.2885,37.094,0.0,0.0,0.0
4,34,cs1,17.316,42.5736,0.0,-26771.373,25.2576
5,34,cs2,17.316,42.7831,0.0,-26312.11,25.4671
0,35,ap1,84.9689,37.2946,1731.3646,0.0,0.0
1,35,ap2,17.316,37.4575,0.0,-22345.6761,20.1415
2,35,ap3,72.1362,37.6523,0.0,0.0,0.0
3,35,ap4,71.9424,38.9881,0.0,0.0,0.0
4,35,cs1,17.316,43.2177,0.0,-27913.9717,25.9017
5,35,cs2,17.316,41.5542,0.0,-27381.3296,24.2382
0,36,ap1,86.848,38.3305,1779.8821,0.0,0.0
1,36,ap2,17.316,36.6563,0.0,-23277.5697,19.3403
2,36,ap3,71.0613,36.914,0.0,0.0,0.0
3,36,ap4,71.4948,38.6686,0.0,0.0,0.0
4,36,cs1,17.316,44.132,0.0,-29206.0763,26.816
5,36,cs2,17.316,42.3931,0.0,-28589.6445,25.0771
0,37,ap1,84.0595,36.7933,1827.1484,0.0,0.0
1,37,ap2,17.316,36.9796,0.0,-23558.9485,19.6636
2,37,ap3,72.2943,37.7608,0.0,0.0,0.0
3,37,ap4,68.3471,36.4221,0.0,0.0,0.0
4,37,cs1,17.316,40.5583,0.0,-29538.6645,23.2423
5,37,cs2,17.316,42.596,0.0,-28951.3908,25.28
0,38,ap1,86.8039,38.3062,1875.6461,0.0,0.0
1,38,ap2,17.316,36.5491,0.0,-24112.7654,19.2331
2,38,ap3,72.774,38.0903,0.0,0.0,0.0
3,38,ap4,70.9216,38.2595,0.0,0.0,0.0
4,38,cs1,17.316,42.4516,0.0,-30262.4449,25.1356
5,38,cs2,17.316,42.2759,0.0,-29670.1125,24.9599
0,39,ap1,86.4307,38.1005,1923.9764,0.0,0.0
1,39,ap2,17.316,37.009,0.0,-24529.0517,19.693
2,39,ap3,70.0945,36.2499,0.0,0.0,0.0
3,39,ap4,70.6692,38.0794,0.0,0.0,0.0
4,39,cs1,17.316,44.6352,0.0,-30839.9395,27.3192
5,39,cs2,17.316,41.0866,0.0,-30172.5948,23.7706
0,40,ap1,84.0543,36.7904,1971.2403,0.0,0.0
1,40,ap2,17.316,38.5948,0.0,-24740.0042,21.2788
2,40,ap3,72.7214,38.0542,0.0,0.0,0.0
3,40,ap4,69.6812,37.3742,0.0,0.0,0.0
4,40,cs1,17.316,43.07,0.0,-31095.2574,25.754
5,40,cs2,17.316,42.234,0.0,-30419.6248,24.918
0,41,ap1,88.9,39.4617,2020.6786,0.0,0.0
1,41,ap2,17.316,37.7602,0.0,-25126.6137,20.4442
