,iteration,id,production,consumption,stored_kwh,wallet,trades_from,amount_from_city,amount_to_city,central_battery_tax
6,7,cs3,17.316,43.2649,0.0,55.5654,ap1:12.5156-ap3:8.7817-ap4:8.3733,0.0,3.7229,0.0
0,8,ap1,88.1518,39.0492,0.01,65.5868,,0.0,0.002,0.0
1,8,ap2,17.316,38.5942,0.0,43.477,ap1:10.0057-ap3:8.2268-ap4:7.729,0.0001,0.0004,0.0
2,8,ap3,72.7351,38.0636,0.0,55.7198,,0.0,0.0021,0.0
3,8,ap4,71.7754,38.8689,0.0,54.7487,,0.0,0.0021,0.0
4,8,cs1,17.316,42.5884,0.0,57.5661,ap1:13.9369-ap3:8.1264-ap4:7.6285,0.0001,0.0004,0.0
5,8,cs2,17.316,40.5787,0.0,53.9708,ap1:12.0537-ap3:8.0781-ap4:7.5802,0.0001,0.0004,0.0
6,8,cs3,17.316,41.6592,0.0,58.1373,ap1:13.1113-ap3:8.0607-ap4:7.5628,0.0001,0.0004,0.0
0,9,ap1,85.7225,37.7101,0.01,111.0382,,0.0006,0.0,0.0
1,9,ap2,17.316,37.0468,0.0,19.4515,ap1:8.3417-ap3:7.6086-ap4:7.3044,0.0,3.5265,0.0
2,9,ap3,72.1565,37.6662,0.0,85.7956,,0.0005,0.0,0.0
3,9,ap4,69.7356,37.413,0.0,82.9815,,0.0006,0.0,0.0
4,9,cs1,17.316,41.7006,0.0,30.0886,ap1:12.7857-ap3:8.6608-ap4:8.3567,0.0,5.4214,0.0
5,9,cs2,17.316,42.6779,0.0,28.3254,ap1:13.4288-ap3:9.0925-ap4:8.3449,0.0,5.507,0.0
6,9,cs3,17.316,42.7166,0.0,31.5455,ap1:13.4668-ap3:9.1305-ap4:8.3186,0.0,5.518,0.0
0,10,ap1,84.8764,37.2436,0.01,155.8209,,0.0001,0.0002,0.0
1,10,ap2,17.316,37.8613,0.0,45.7614,ap1:12.5783-ap3:5.1746-ap4:4.3613,0.0,0.0001,0.0
2,10,ap3,71.5181,37.2277,0.0,117.9592,ap1:0.0-ap4:0.0,0.0003,0.0003,0.0
3,10,ap4,71.0635,38.3608,0.0,113.122,,0.0004,0.0004,0.0
4,10,cs1,17.316,41.4451,0.0,76.0815,ap1:11.7079-ap3:7.201-ap4:6.822,0.0,0.0001,0.0
