step,household_id,production,consumption,stored_kwh,battery_pct,wallet,grid_buy,grid_sell,p2p_trades,p2p_buy_amount,p2p_sell_amount,central_battery_tax,grid_import_capacity,grid_export_capacity
0,ap1,7.6596,1.0406,6.2881,83.33,100.0007,0.0,0.0105,,0.0,0.0,0.0,5081.6462,3916.0387
0,ap2,5.772,0.9132,4.6158,83.33,100.0007,0.0,0.0105,,0.0,0.0,0.0,5081.6462,3916.0387
0,ap3,7.2405,1.0086,8.6087,63.77,100.0,0.0,0.0,,0.0,0.0,0.0,5081.6462,3916.0387
0,ap4,7.1801,1.005,8.5576,63.39,100.0,0.0,0.0,,0.0,0.0,0.0,5081.6462,3916.0387
0,cs1,5.772,1.285,7.0383,52.14,100.0,0.0,0.0,,0.0,0.0,0.0,5081.6462,3916.0387
0,cs2,5.772,1.2112,7.1047,52.63,100.0,0.0,0.0,,0.0,0.0,0.0,5081.6462,3916.0387
0,cs3,5.772,1.1162,7.1903,53.26,100.0,0.0,0.0,,0.0,0.0,0.0,5081.6462,3916.0387
0,cs4,5.772,1.252,7.068,52.36,100.0,0.0,0.0,,0.0,0.0,0.0,5081.6462,3916.0387
0,cs5,5.772,1.3353,6.993,51.8,100.0,0.0,0.0,,0.0,0.0,0.0,5081.6462,3916.0387
0,cs6,5.772,1.1529,7.1572,53.02,100.0,0.0,0.0,,0.0,0.0,0.0,5081.6462,3916.0387
1,ap1,48.9074,23.779,30.1601,83.33,100.0007,0.0,0.0,,0.0,0.0,0.0,4865.3294,3918.5353
1,ap2,5.772,24.5538,0.0,0.0,97.7441,14.166,0.0,,0.0,0.0,0.0,4865.3294,3918.5353
1,ap3,42.6497,25.3288,13.5,100.0,100.9276,0.0,11.8861,,0.0,0.0,0.0,4865.3294,3918.5353
1,ap4,39.813,24.2958,13.5,100.0,100.7824,0.0,10.0256,,0.0,0.0,0.0,4865.3294,3918.5353
1,cs1,5.772,28.995,0.0704,0.52,97.4106,16.2551,0.0,,0.0,0.0,0.0,4865.3294,3918.5353
1,cs2,5.772,27.248,0.071,0.53,97.6993,14.4423,0.0,,0.0,0.0,0.0,4865.3294,3918.5353
1,cs3,5.772,28.2959,0.0719,0.53,97.5459,15.4056,0.0,,0.0,0.0,0.0,4865.3294,3918.5353
1,cs4,7.9289,29.5243,0.0707,0.52,97.6745,14.598,0.0,,0.0,0.0,0.0,4865.3294,3918.5353
1,cs5,5.772,26.0323,0.0699,0.52,97.8754,13.3373,0.0,,0.0,0.0,0.0,4865.3294,3918.5353
1,cs6,7.6323,28.5654,0.0716,0.53,97.7941,13.8475,0.0,,0.0,0.0,0.0,4865.3294,3918.5353
2,ap1,42.005,19.9739,51.0896,83.33,100.0007,0.0,0.0,,0.0,0.0,0.0,2505.6309,2059.6252
2,ap2,5.772,18.7041,0.0,0.0,95.0699,12.9321,0.0,,0.0,0.0,0.0,2505.6309,2059.6252
2,ap3,31.3459,17.5649,13.5,100.0,102.2281,0.0,13.7809,,0.0,0.0,0.0,2505.6309,2059.6252
2,ap4,31.9545,18.687,13.5,100.0,102.0344,0.0,13.2675,,0.0,0.0,0.0,2505.6309,2059.6252
2,cs1,5.772,22.3376,0.0007,0.01,93.9993,16.496,0.0,,0.0,0.0,0.0,2505.6309,2059.6252
2,cs2,5.772,22.8707,0.0007,0.01,94.178,17.0284,0.0,,0.0,0.0,0.0,2505.6309,2059.6252
2,cs3,5.772,23.1086,0.0007,0.01,93.9756,17.2654,0.0,,0.0,0.0,0.0,2505.6309,2059.6252
2,cs4,5.772,21.1823,0.0007,0.01,94.5023,15.3404,0.0,,0.0,0.0,0.0,2505.6309,2059.6252
2,cs5,5.772,20.0479,0.0007,0.01,94.9376,14.2067,0.0,,0.0,0.0,0.0,2505.6309,2059.6252
2,cs6,5.772,22.3581,0.0007,0.01,94.3789,16.5153,0.0,,0.0,0.0,0.0,2505.6309,2059.6252
