step,household_id,production,consumption,stored_kwh,battery_pct,wallet,grid_buy,grid_sell,p2p_trades,p2p_buy_amount,p2p_sell_amount,central_battery_tax,grid_import_capacity,grid_export_capacity
0,ap1,98.206,44.5917,0.01,0.0,104.6682,0.0,21.8791,,0.0,31.7381,0.0,5148.5613,3820.7851
0,ap2,24.4759,44.7799,3.0,0.86,97.7095,0.0,0.0,ap1:20.304,20.304,0.0,0.0,5148.5613,3820.7851
0,ap3,83.0984,45.1814,30.3002,8.66,100.377,0.0,7.5834,,0.0,0.0,0.0,5148.5613,3820.7851
0,ap4,77.6653,43.0727,27.9067,7.97,100.344,0.0,6.9185,,0.0,0.0,0.0,5148.5613,3820.7851
0,cs1,41.2556,52.6898,3.0,0.86,98.7101,0.0,0.0,ap1:11.4341,11.4341,0.0,0.0,5148.5613,3820.7851
1,ap1,88.3241,39.1442,0.01,0.0,109.0552,0.0,34.505,,0.0,14.6779,0.0,5147.9164,4005.5776
1,ap2,24.6981,37.5622,3.0,0.86,95.1613,0.0,0.0,ap1:12.8642,12.8642,0.0,0.0,5147.9164,4005.5776
1,ap3,72.6601,38.0121,55.2468,15.78,100.6741,0.0,6.9296,,0.0,0.0,0.0,5147.9164,4005.5776
1,ap4,69.1833,37.0189,51.0651,14.59,100.6198,0.0,6.4329,,0.0,0.0,0.0,5147.9164,4005.5776
1,cs1,41.9984,43.8121,3.0,0.86,98.3508,0.0,0.0,ap1:1.8137,1.8137,0.0,0.0,5147.9164,4005.5776
2,ap1,84.5059,37.0394,0.01,0.0,118.4147,0.0,4.6649,,0.0,42.8046,0.0,2540.5558,1886.908
2,ap2,18.285,39.6139,3.0,0.86,90.6337,0.0,0.0,ap1:21.3289,21.3289,0.0,0.0,2540.5558,1886.908
2,ap3,71.3085,37.0838,79.8886,22.83,101.0752,0.0,6.8449,,0.0,0.0,0.0,2540.5558,1886.908
2,ap4,70.8919,38.2384,74.5756,21.31,101.0024,0.0,6.5307,,0.0,0.0,0.0,2540.5558,1886.908
2,cs1,20.5559,42.0316,3.0,0.86,93.7921,0.0,0.0,ap1:21.4757,21.4757,0.0,0.0,2540.5558,1886.908
3,ap1,84.8844,37.248,0.01,0.0,124.795,0.0,11.874,,0.0,35.7654,0.0,2433.2902,2092.5557
3,ap2,19.6339,38.3767,3.0,0.86,87.5635,0.0,0.0,ap1:18.7428,18.7428,0.0,0.0,2433.2902,2092.5557
3,ap3,71.7579,37.3925,104.6318,29.89,101.3771,0.0,6.8731,,0.0,0.0,0.0,2433.2902,2092.5557
3,ap4,70.2164,37.7563,97.947,27.98,101.2876,0.0,6.492,,0.0,0.0,0.0,2433.2902,2092.5557
3,cs1,25.0662,42.0889,3.0,0.86,91.0037,0.0,0.0,ap1:17.0227,17.0227,0.0,0.0,2433.2902,2092.5557
4,ap1,86.9383,38.3803,0.01,0.0,130.0404,0.0,35.0086,,0.0,13.5524,0.0,2550.1359,1865.351
4,ap2,25.2245,38.777,3.0,0.86,85.3331,0.0,0.0,ap1:13.5524,13.5524,0.0,0.0,2550.1359,1865.351
4,ap3,71.4814,37.2025,129.3125,36.95,101.9676,0.0,6.8558,,0.0,0.0,0.0,2550.1359,1865.351
4,ap4,68.8149,36.7559,121.0294,34.58,101.8398,0.0,6.4118,,0.0,0.0,0.0,2550.1359,1865.351
4,cs1,43.7587,43.2949,3.334,0.95,91.0117,0.0,0.0928,,0.0,0.0,0.0,2550.1359,1865.351
5,ap1,85.163,37.4016,0.01,0.0,138.3904,0.0,22.2212,,0.0,25.5432,0.0,2469.4701,2005.5258
5,ap2,22.2866,39.353,3.0,0.86,81.074,0.0,0.0,ap1:17.0664,17.0664,0.0,0.0,2469.4701,2005.5258
5,ap3,71.4191,37.1597,150.8959,43.11,102.8812,0.0,10.2778,,0.0,0.0,0.0,2469.4701,2005.5258
5,ap4,70.6769,38.0849,141.5624,40.45,102.709,0.0,9.7776,,0.0,0.0,0.0,2469.4701,2005.5258
5,cs1,33.9356,42.4123,3.334,0.95,88.8962,0.0,0.0,ap1:8.4768,8.4768,0.0,0.0,2469.4701,2005.5258
