step,household_id,production,consumption,stored_kwh,battery_pct,wallet,grid_buy,grid_sell,p2p_trades,p2p_buy_amount,p2p_sell_amount,central_battery_tax,grid_import_capacity,grid_export_capacity
0,ap3,8.4899,1.8667,6.292,83.33,100.0005,0.0,0.0105,,0.0,0.0,0.0,4722.323,3816.2694
0,ap1,9.1528,1.8637,6.9247,83.33,100.0005,0.0,0.0105,,0.0,0.0,0.0,4722.323,3816.2694
0,ap2,5.9656,1.7971,3.9601,83.33,100.0005,0.0,0.0105,,0.0,0.0,0.0,4722.323,3816.2694
0,ap4,8.7414,2.1193,8.9599,2.56,100.0,0.0,0.0,,0.0,0.0,0.0,4722.323,3816.2694
0,hi1,5.8265,22.1243,0.03,0.01,95.6512,13.3277,0.0,,0.0,0.0,0.0,4722.323,3816.2694
0,ir2,5.8134,2.3384,6.1275,1.75,100.0,0.0,0.0,,0.0,0.0,0.0,4722.323,3816.2694
0,ir1,5.8152,2.558,5.9314,1.69,100.0,0.0,0.0,,0.0,0.0,0.0,4722.323,3816.2694
0,is1,5.821,4.3935,4.2848,1.22,100.0,0.0,0.0,,0.0,0.0,0.0,4722.323,3816.2694
0,is2,5.8158,5.3983,3.3758,0.96,100.0,0.0,0.0,,0.0,0.0,0.0,4722.323,3816.2694
0,ku2,8.5316,1.6114,9.2282,2.64,100.0,0.0,0.0,,0.0,0.0,0.0,4722.323,3816.2694
0,ku4,7.772,1.3577,8.7729,2.51,100.0,0.0,0.0,,0.0,0.0,0.0,4722.323,3816.2694
0,ku3,8.2611,1.356,9.2146,2.63,100.0,0.0,0.0,,0.0,0.0,0.0,4722.323,3816.2694
0,ku1,5.855,1.2784,7.119,2.03,100.0,0.0,0.0,,0.0,0.0,0.0,4722.323,3816.2694
0,pl1,9.2848,2.0962,9.4698,2.71,100.0,0.0,0.0,,0.0,0.0,0.0,4722.323,3816.2694
0,ta1,8.3607,1.7556,8.9446,2.56,100.0,0.0,0.0,,0.0,0.0,0.0,4722.323,3816.2694
1,ap3,42.1562,24.9898,22.6,83.33,100.0005,0.0,0.0,,0.0,0.0,0.0,4804.6435,3772.9112
1,ap1,51.1535,25.0172,31.7541,83.33,100.0005,0.0,0.0,,0.0,0.0,0.0,4804.6435,3772.9112
1,ap2,12.7384,24.6677,0.0,0.0,97.3376,7.9693,0.0,,0.0,0.0,0.0,4804.6435,3772.9112
